Starship Velociraptor  Galactikraken
Ain't No Rest for the Wicked  Cage the Elephant
Take the Money and Run  Steve Miller Band
Universal Soldier  Donovan
The Rime of the Ancient Mariner  Iron Maiden
Tweeter and the Monkey Man  Traveling Wilburys
Run Joey Run  David Geddes
Over the Hills and Far Away  Led Zeppelin
Kenji  Fort Minor
Mariner's Revenge Song  Decemberists
To Live Is To Die  Metallica
Brenda’s Got A Baby  Tupac
Death Letter  Son House
Ocean Gypsy  Renaissance
The Night Chicago Died  Paper Lace
Rosetta Stoned  Tool
Cowboy in a Continental Suit  Marty Robbins
Buenas Tardes Amigo  Ween
Thunder Road  Bruce Springsteen
I don't like Mondays  The Boomtown Rats
Hazard  Richard Marx
A Most Disgusting Song  Rodriguez
Rocky Raccoon  The Beatles
Father and Son  Cat Stevens
Limousine (MS Rebridge)  Brand New
Afterlife  Avenged Sevenfold
The Kids Aren't Alright  The Offspring
The Cold Hard Facts of Life  Porter Wagoner
Wrong Way  Sublime
Last Time I Saw Him  Diana Ross
Tight Fittin’ Jeans  Conway Twitty
Somebody That I Used to Know  Gotye
Ghost Riders in The Sky  Vaughn Monroe
The Cool  Lupe Fiasco
Just a Dream  Carrie Underwood
The Saga Begins  Weird Al
Your Horoscope for Today  Weird Al
The Trooper  Iron Maiden
Sinking of the Bismark  Johnny Horton
Please Mr. Custer  Larry Verne
Big Joe and Phantom 309  Tom Waits
I Just Had Sex  The Lonely Island
Hero of War  Rise Against
Cleopatra  The Lumineers
Uncle Tom's Cabin  Warrant
Midnight Train to Georgia  Gladys Knight & the Pips
The Night the Lights Went Out in Georgia  Vickie Lawrence
Dance with the Devil  Immortal Technique
Car Radio  twenty one pilots
House of Gold  twenty one pilots
City of New Orleans  Arlo Guthrie
Billy  Lou Reed
Sniper  Harry Chapin
Everything Will Be Ok  G-Eazy
Objects in the Rear View Mirror  Meatloaf
Every Rose Has It’s Thorn  Poison
The Fairytale of New York  The Pogues
Patricia the Stripper  Chris de Burgh
The Valley Road  Bruce Hornsby
The Legend of Wooly Swamp  Charlie Daniels
The Highwayman  Loreena McKennitt
4 Your Eyez Only  J. Cole
2112  Rush
The Ballad of Curtis Blow  Lynyrd Skynard
One  Metallica
John the Fisherman  Primus
Renegade  Styx
Stockholm Syndrome  Muse
Space Oddity  David Bowie
Up The Junction  UK Squeeze
Cry for Help  Rick Astley
Emma  Hot Chocolate
Burma Shave  Tom Waits
Marie  Townes Van Zandt
Highway Patrolman  Bruce Springsteen
In the year 2525  Zager and Evans
Gypsies Tramps and Thieves  Cher
Tie a Yellow Ribbon Round the Ole Oak Tree  Tony Orlando and Dawn
Billy Don't be a Hero  Paper Lace
Dark Lady  Cher
Gettysburg Trilogy  Iced Earth
Xanadu  Rush
Graffiti on the Train  Stereophonics
Tribute  Tenacious D
Mmm mmm mmm mmm  Crash Test Dummies
One Week  Barenaked Ladies
Delilah  Tom Jones
Bandidos  The Refreshments
